5.35	287
5.40	297
6.41	300
7.87	291
6.43	292
6.03	315
6.55	315
6.16	303
6.65	325
6.59	334
6.39	350
6.58	353
6.96	11
7.91	34
5.72	28
4.45	55
4.70	40
5.95	34
5.98	42
5.22	46
5.21	39
5.28	43
6.07	20
6.17	34
6.69	31
6.54	33
6.81	29
7.90	31
9.53	33
10.35	38
12.01	39
7.23	47
7.70	45
9.63	46
10.14	45
9.58	45
10.10	43
8.38	45
7.92	47
7.60	50
6.62	50
7.50	62
8.23	60
9.97	60
10.81	63
12.60	65
13.39	59
12.38	55
12.50	55
9.06	53
9.67	59
10.91	61
10.85	71
9.55	73
7.36	55
5.59	67
11.32	73
7.34	80
6.27	72
8.91	62
12.32	71
14.60	70
15.56	68
15.57	63
12.65	65
11.34	75
13.14	79
12.86	80
11.57	77
10.27	73
7.59	67
7.09	77
6.79	73
7.16	73
7.69	72
8.16	75
8.06	77
7.13	75
6.92	78
7.83	83
9.81	81
10.35	78
9.56	76
9.77	85
9.42	81
8.79	72
10.28	81
10.61	86
10.47	92
10.90	98
10.31	96
9.68	90
8.24	88
7.63	96
6.88	98
6.41	93
5.10	100
4.65	108
4.69	93
5.11	80
6.77	319
5.93	315
5.04	341
6.10	198
4.51	131
4.47	158
4.63	183
4.91	201
4.89	185
4.98	170
5.53	195
6.11	216
6.61	224
6.85	226
6.68	226
6.56	226
5.68	220
4.90	221
5.11	227
5.38	214
6.91	194
7.23	225
7.82	237
8.47	248
7.03	242
6.31	242
6.85	230
7.04	221
5.25	188
5.04	188
4.86	182
4.79	142
5.68	134
5.61	130
5.84	135
6.82	132
6.32	122
6.29	112
5.81	116
5.46	114
4.86	112
4.86	103
4.81	95
5.02	97
5.04	109
4.97	144
5.24	145
6.00	336
7.12	355
5.89	21
5.06	49
6.05	69
6.28	65
6.54	66
7.81	70
7.18	69
7.84	75
8.60	73
9.34	75
8.98	90
8.95	91
9.02	97
8.26	98
7.82	103
8.36	102
7.94	99
6.63	98
5.73	88
5.10	78
5.03	72
6.00	48
6.41	77
5.42	76
4.96	65
4.54	63
6.85	84
8.60	75
9.94	76
8.62	77
6.95	92
7.78	103
8.65	112
7.80	100
7.99	106
8.47	113
9.02	114
10.11	115
9.40	111
8.46	106
7.53	103
6.91	100
6.80	95
5.93	97
4.35	88
3.99	102
4.28	105
4.43	96
5.27	91
5.94	93
5.94	93
7.09	99
7.00	109
6.94	114
7.29	112
7.28	116
6.92	110
6.26	107
6.10	113
5.99	109
5.51	109
5.77	111
5.45	110
4.53	115
4.04	117
3.55	119
2.59	140
2.57	188
3.15	246
3.91	248
4.62	301
4.07	314
3.77	313
2.77	319
2.05	38
5.21	108
5.19	109
4.55	122
4.13	125
3.94	152
4.44	188
4.57	212
4.36	212
4.75	218
4.32	215
5.64	211
6.50	216
6.26	215
4.48	208
3.66	228
5.20	244
5.36	248
5.55	242
6.00	246
5.72	254
4.08	299
4.64	305
4.46	290
3.58	308
3.09	287
4.44	258
4.96	249
4.58	226
4.60	201
4.96	202
5.04	211
6.20	215
5.19	212
5.49	217
5.23	219
4.84	225
5.30	227
5.36	228
5.17	220
5.39	231
5.62	238
5.39	242
3.96	253
5.00	261
5.18	268
5.44	278
5.10	275
5.58	270
6.33	288
5.29	290
4.88	314
4.66	324
3.83	332
4.00	344
3.03	60
3.39	15
3.02	16
3.94	8
5.08	21
6.29	45
4.42	14
3.58	13
3.96	25
3.36	54
4.24	48
3.98	60
3.66	52
4.24	31
5.38	31
5.93	49
6.50	76
8.29	77
9.90	80
9.31	74
10.14	78
10.53	80
9.24	83
8.78	90
9.59	84
9.43	88
7.86	95
7.15	96
7.08	98
6.91	101
6.87	98
6.83	97
6.64	97
5.94	93
6.08	85
5.46	84
4.40	81
3.77	55
4.70	74
5.63	82
5.96	89
6.58	87
7.74	79
8.05	80
7.36	88
7.06	88
6.86	94
6.78	100
6.92	112
7.02	110
6.59	115
6.09	111
6.06	107
5.84	105
3.36	136
2.02	147
1.16	94
0.90	308
