2.46	26
2.33	32
2.24	35
2.16	38
2.11	40
2.18	36
2.15	43
2.08	54
2.13	66
2.14	77
2	87
1.49	98
1.31	113
1.12	128
0.95	147
0.85	163
0.75	168
0.6	162
0.51	158
0.33	105
0.5	56
0.75	44
0.84	48
0.85	75
0.85	81
0.8	82
0.72	81
0.66	75
0.68	59
0.54	57
0.51	47
0.32	58
0.2	114
0.34	178
0.68	204
1.12	215
1.59	225
1.77	236
1.88	248
1.87	259
1.54	268
1.44	261
1	285
1.03	322
1.27	345
1.61	357
1.97	1
2.28	349
2.47	356
2.34	3
2.11	10
1.95	16
1.92	17
2.33	23
2.38	27
2.43	39
2.63	50
2.79	57
2.74	60
2.88	60
2.9	58
3.01	54
3.17	48
3.21	42
3.01	32
2.14	345
2.41	339
2.28	9
2.77	33
3.33	46
3.38	50
3.1	51
3.57	52
3.62	55
3.69	57
3.74	59
3.72	60
3.58	60
3.46	64
3.44	67
3.62	72
3.75	77
3.75	82
3.87	88
3.82	93
3.84	98
3.86	102
3.93	105
4.1	109
4.33	113
4.43	120
4.05	113
3.76	102
3.67	93
3.73	90
3.57	95
3.66	94
3.56	93
3.4	93
3.27	93
3.18	92
3.09	91
3.13	90
3.49	94
3.94	98
4.38	100
4.73	101
5.02	102
5.16	99
5.4	100
5.59	104
5.63	107
5.44	111
4.57	116
4.18	119
4.14	118
3.98	115
3.79	111
3.49	106
3.2	100
2.95	92
2.8	88
2.64	84
2.49	80
2.32	73
2.1	64
2.18	64
2.48	79
3.06	91
3.65	99
4.08	103
4.42	106
4.26	109
4.52	114
4.82	120
4.98	124
4.86	128
4.59	131
3.88	134
3.49	128
3.36	119
3.17	109
3	97
2.79	99
2.67	90
2.61	85
2.47	81
2.33	78
2.19	75
2.04	72
1.99	73
1.97	81
2.17	93
2.41	101
2.58	103
2.7	106
2.71	105
2.66	106
2.53	106
2.35	106
2.06	105
1.72	103
1.32	111
1.16	102
1.09	83
1.17	73
1.34	81
1.56	107
1.68	108
1.51	108
1.21	105
0.94	102
0.75	95
0.5	88
0.38	88
0.48	116
0.7	128
0.96	130
1.24	125
1.54	121
1.57	123
1.54	123
1.38	125
1.14	129
0.82	138
0.38	130
0.07	100
0.02	272
0.18	342
0.32	19
0.72	63
0.78	106
1.31	105
1.44	89
1.59	68
1.78	57
1.85	58
1.8	64
1.62	70
1.27	82
1.05	100
0.96	129
1.19	161
1.73	190
2.22	197
2.54	203
2.77	209
2.86	214
2.78	219
2.56	238
2.39	247
2.34	257
2.42	268
2.41	275
2.12	277
1.69	274
1.56	262
1.37	256
1.23	251
1.14	247
1.09	248
1.08	252
1.32	260
1.52	246
1.92	238
2.49	236
3.37	239
4.77	243
5.64	246
6.13	248
6.42	251
6.36	253
5.67	256
4.64	260
4.03	261
3.84	269
3.7	278
3.61	286
3.5	292
3.22	294
3.02	301
2.77	305
2.51	309
2.31	313
2.2	316
2.14	318
2.53	308
2.36	312
2.37	312
2.42	310
2.57	305
2.87	298
3.03	294
3.03	291
2.94	289
2.77	294
2.78	313
3.21	335
3.53	352
3.6	5
3.72	18
3.9	28
3.98	33
3.89	35
3.85	39
3.98	40
4.16	41
4.24	40
4.1	38
4.03	37
3.8	33
3.9	29
4.09	26
4.3	25
4.53	27
4.78	31
4.93	36
5.01	38
5	40
4.92	41
4.66	43
4.22	52
4.27	55
4.33	54
4.31	53
4.35	53
4.34	54
4.26	57
4.3	58
4.09	59
3.8	61
3.63	63
3.66	63
3.8	64
4	61
4.14	63
4.18	66
4.26	70
4.26	75
3.74	86
3.73	94
3.86	101
4.08	109
4.22	115
4.27	123
3.93	139
3.81	148
3.19	149
2.4	147
1.8	138
1.81	116
2.3	100
2.57	87
2.77	84
2.83	83
2.81	83
2.72	82
2.79	86
2.61	89
2.4	97
2.36	104
2.32	113
2.32	126
2.5	135
2.59	146
2.74	157
2.96	168
3.12	177
3.11	183
2.99	189
2.87	188
2.92	195
2.62	193
2.43	193
2.46	197
2.33	199
2.48	205
2.69	208
2.91	209
3.11	210
3.2	211
3.59	214
3.94	214
4.87	213
6.03	213
6.89	213
7.2	213
7.16	214
7.3	220
6.93	227
6.66	238
6.46	249
6.37	264
7.11	275
7.27	287
6.93	292
6.42	296
5.87	299
5.41	301
5.35	302

